Created,Opponent,Date,Time,Wind speed (km/h),Our score,Opponent's score,Result,Possessions total,Offense possessions,Defense possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Stall outs for,Stall outs against
2017-02-24 14:53,DQ-Cheetahs,2017-02-24,16:15,0,10,7,Win,43,16,27,123,33,25,12,16,20,0,0
2017-05-14 12:05,BJ-Tornados,2017-05-21,09:00,0,7,1,Win,39,2,37,127,32,20,12,19,19,0,0
2017-03-24 09:46,YW-Dogs,2017-03-24,16:00,0,13,4,Win,65,21,44,167,52,41,11,33,27,0,0
2017-05-14 12:06,HK-Joint,2017-05-20,09:00,0,7,1,Win,28,2,26,45,21,12,9,8,19,0,0
2017-05-18 06:45,NM-Lions,2017-05-20,10:00,0,4,5,Loss,30,12,18,83,26,18,8,5,21,0,0
2017-05-21 13:22,CI-HZSR,2017-05-21,15:50,0,6,4,Win,55,10,45,206,49,39,13,17,34,0,0
2017-03-11 12:29,YK-Buddha,2017-03-11,12:30,0,5,4,Win,23,12,11,78,18,16,2,9,10,0,0
2017-04-08 13:19,TJ-Donut1,2017-04-08,13:30,0,7,8,Loss,25,20,5,75,18,13,5,7,10,0,0
2017-04-08 09:55,NO-Mosquitos2,2017-04-08,10:00,0,13,1,Win,28,6,22,62,15,11,4,13,13,0,0
2017-03-11 14:27,YK-Buddha,2017-03-11,14:30,0,10,6,Win,27,11,16,90,17,12,5,8,13,0,0
2017-04-21 11:45,SC-Warriors,2017-04-21,15:00,0,13,6,Win,50,16,34,136,36,22,16,17,26,0,1
2017-03-17 15:36,NM-Lions,2017-03-17,16:00,0,13,7,Win,41,18,23,102,29,21,8,16,18,0,0
2017-03-29 09:37,CI-Vapour,2017-03-29,16:30,0,13,3,Win,25,8,17,75,12,10,2,3,18,0,0
2017-05-21 10:54,NM-Lions,2017-05-21,12:20,0,1,4,Loss,33,26,7,147,31,23,10,9,18,2,1
2017-05-12 09:48,DQ-Cheetahs,2017-05-12,15:45,0,13,4,Win,24,11,13,48,11,9,2,11,8,0,0
2017-05-18 06:47,LW-Kraken,2017-05-20,15:00,0,10,1,Win,36,2,34,72,26,20,6,17,19,0,0
2017-03-03 15:21,PH-Dogs,2017-03-03,16:00,0,13,4,Win,30,12,18,63,17,15,2,11,14,0,0
2017-03-11 09:09,YW-Dogs,2017-03-11,09:15,0,8,4,Win,30,15,15,66,21,13,8,7,18,0,1
2017-05-18 06:46,CI-Vapour,2017-05-20,12:00,0,4,3,Win,43,12,31,81,39,28,12,8,32,0,0
2017-04-08 14:41,BN-Wolves,2017-04-08,14:45,0,8,5,Win,35,16,19,96,25,23,2,7,22,0,2
2017-03-11 13:38,DQ-Cheetahs,2017-03-11,13:40,0,5,3,Win,35,26,9,88,29,19,10,15,16,0,1
2017-03-11 11:26,KC-Gators,2017-03-11,11:30,0,11,4,Win,23,9,14,56,12,9,3,7,11,0,0
2017-04-08 10:52,NO-Mosquitos1,2017-04-08,11:00,0,7,6,Win,27,9,18,65,20,18,2,8,13,0,0
2017-03-31 15:26,JK-Sea Otters,2017-03-31,15:45,0,7,3,Win,28,15,13,73,21,11,10,7,17,0,0
2017-05-09 15:42,SC-Warriors,2017-05-09,16:30,0,8,6,Win,43,19,24,112,35,26,9,15,22,0,1
